year,winner_name,loser_name
2005,Christophe Rochus,Santiago Ventura
2005,Albert Costa,Max Mirnyi
2005,Gaston Gaudio,David Sanchez
2005,Juan Monaco,Igor Andreev
2005,Jiri Novak,Paradorn Srichaphan
2005,Andreas Seppi,Rainer Schuettler
2005,Guillermo Canas,Fabrice Santoro
2005,Radek Stepanek,Cyril Saulnier
2005,Dominik Hrbaty,Tommy Haas
2005,Richard Gasquet,Ivo Karlovic
2005,Nicolas Massu,Andy Roddick
2005,Roger Federer,Tomas Berdych
2005,Tommy Robredo,Gustavo Kuerten
2005,Guillermo Coria,Mikhail Youzhny
2005,Mario Ancic,Fernando Gonzalez
2005,Juan Carlos Ferrero,Marat Safin
2005,Nikolay Davydenko,Mariano Puerta
2005,Sebastien Grosjean,Nicolas Kiefer
2005,Filippo Volandri,Feliciano Lopez
2005,Tim Henman,Greg Rusedski
2005,Juan Ignacio Chela,Robin Soderling
2005,Christophe Rochus,Ivan Ljubicic
2005,Gaston Gaudio,Albert Costa
2005,Jiri Novak,Juan Monaco
2005,Andreas Seppi,Guillermo Canas
2005,Dominik Hrbaty,Radek Stepanek
2005,Richard Gasquet,Nicolas Massu
2005,Roger Federer,Tommy Robredo
2005,Guillermo Coria,Mario Ancic
2005,Nikolay Davydenko,Juan Carlos Ferrero
2005,Filippo Volandri,Sebastien Grosjean
2005,Juan Ignacio Chela,Tim Henman
2005,Christophe Rochus,Gaston Gaudio
2005,Andreas Seppi,Jiri Novak
2005,Richard Gasquet,Dominik Hrbaty
2005,Roger Federer,Guillermo Coria
2005,Nikolay Davydenko,Filippo Volandri
2005,Christophe Rochus,Juan Ignacio Chela
2005,Richard Gasquet,Andreas Seppi
2005,Roger Federer,Nikolay Davydenko
2005,Richard Gasquet,Christophe Rochus
2005,Roger Federer,Richard Gasquet
2005,Dmitry Tursunov,Yen Hsun Lu
2005,Noam Okun,Brendan Evans
2005,Gregory Carraz,James Blake
2005,Robby Ginepri,Michael Ryderstedt
2005,George Bastl,Jeff Morrison
2005,Andy Murray,Jesse Witten
2005,Jonas Bjorkman,Lukas Dlouhy
2005,Rajeev Ram,Sjeng Schalken
2005,Paul Goldstein,Alejandro Falla
2005,Giovanni Lapentti,Mashiska Washington
2005,Bjorn Phau,Amer Delic
2005,Jan Michael Gambill,Donald Young
2005,Wesley Moodie,Jean Rene Lisnard
2005,Marcos Baghdatis,Sebastien De Chaunac
2005,Kevin Kim,Ivo Karlovic
2005,Antony Dupuis,Alexander Popp
2005,Andy Roddick,Dmitry Tursunov
2005,Noam Okun,Xavier Malisse
2005,Paradorn Srichaphan,Gregory Carraz
2005,Robby Ginepri,Vincent Spadea
2005,George Bastl,Dominik Hrbaty
2005,Mardy Fish,Andy Murray
2005,Karol Beck,Jonas Bjorkman
2005,Rajeev Ram,Tomas Cakl
2005,Paul Goldstein,Max Mirnyi
2005,Giovanni Lapentti,Cyril Saulnier
2005,Bjorn Phau,Jan Hernych
2005,Taylor Dent,Jan Michael Gambill
2005,Greg Rusedski,Wesley Moodie
2005,Kenneth Carlsen,Marcos Baghdatis
2005,Kevin Kim,Hyung Taik Lee
2005,Nicolas Kiefer,Antony Dupuis
2005,Andy Roddick,Noam Okun
2005,Robby Ginepri,Paradorn Srichaphan
2005,George Bastl,Mardy Fish
2005,Karol Beck,Rajeev Ram
2005,Paul Goldstein,Giovanni Lapentti
2005,Taylor Dent,Bjorn Phau
2005,Greg Rusedski,Kenneth Carlsen
2005,Nicolas Kiefer,Kevin Kim
2005,Robby Ginepri,Andy Roddick
2005,Karol Beck,George Bastl
2005,Taylor Dent,Paul Goldstein
2005,Greg Rusedski,Nicolas Kiefer
2005,Robby Ginepri,Karol Beck
2005,Taylor Dent,Greg Rusedski
2005,Robby Ginepri,Taylor Dent
2005,Carlos Moya,Nicolas Lapentti
2005,Mariano Puerta,Guillermo Garcia Lopez
2005,Felix Mantilla,Miguel Gallardo Valles
2005,David Ferrer,Ricardo Mello
2005,Guillermo Canas,Edgardo Massa
2005,Nicolas Devilder,Jose Acasuso
2005,Santiago Ventura,Nicolas Almagro
2005,Rafael Nadal,Alex Calatrava
2005,Jiri Novak,Juan Antonio Marin
2005,Oscar Hernandez,David Sanchez
2005,Agustin Calleri,Olivier Patience
2005,Juan Monaco,Juan Ignacio Chela
2005,Filippo Volandri,Mariano Zabaleta
2005,Alberto Martin,Jiri Vanek
2005,Albert Montanes,Alejandro Hernandez
2005,Tomas Zib,Gaston Gaudio
2005,Mariano Puerta,Carlos Moya
2005,Felix Mantilla,David Ferrer
2005,Guillermo Canas,Nicolas Devilder
2005,Rafael Nadal,Santiago Ventura
2005,Jiri Novak,Oscar Hernandez
2005,Agustin Calleri,Juan Monaco
2005,Filippo Volandri,Alberto Martin
2005,Albert Montanes,Tomas Zib
2005,Mariano Puerta,Felix Mantilla
2005,Rafael Nadal,Guillermo Canas
2005,Agustin Calleri,Jiri Novak
2005,Albert Montanes,Filippo Volandri
2005,Rafael Nadal,Mariano Puerta
2005,Albert Montanes,Agustin Calleri
2005,Rafael Nadal,Albert Montanes
2005,Roger Federer,Greg Rusedski
2005,Albert Montanes,Younes El Aynaoui
2005,Fernando Gonzalez,Fernando Verdasco
2005,Mario Ancic,Gustavo Kuerten
2005,Nikolay Davydenko,Jurgen Melzer
2005,Albert Costa,Michael Llodra
2005,Richard Gasquet,Guillermo Garcia Lopez
2005,Felix Mantilla,Joachim Johansson
2005,Gaston Gaudio,Christophe Rochus
2005,Nicolas Kiefer,Rainer Schuettler
2005,Victor Hanescu,Agustin Calleri
2005,Radek Stepanek,Vincent Spadea
2005,Rafael Nadal,Gael Monfils
2005,Xavier Malisse,Juan Ignacio Chela
2005,Tomas Berdych,Luis Horna
2005,Olivier Rochus,Ivan Ljubicic
2005,Guillermo Coria,Paul Henri Mathieu
2005,Thierry Ascione,Karol Beck
2005,Alberto Martin,Potito Starace
2005,Jean Rene Lisnard,Thomas Johansson
2005,David Ferrer,Dominik Hrbaty
2005,Andreas Seppi,Feliciano Lopez
2005,Fabrice Santoro,Robin Soderling
2005,Mariano Zabaleta,Tim Henman
2005,Mariano Puerta,Carlos Moya
2005,Florian Mayer,Julien Benneteau
